/root/miniconda3/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/train-00000-of-00001-1028f23e353fbe3e.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
[2026-02-25 15:26:21] Running dummy_scienceqa/liquid_clip_run on device=cpu
[2026-02-25 15:31:46] [dummy_scienceqa/liquid_clip_run] epoch=1 step=720 loss=0.9587 acc=0.3975
[2026-02-25 15:31:51] [dummy_scienceqa/liquid_clip_run] epoch=1 step=740 loss=0.9595 acc=0.3972
[2026-02-25 15:31:56] [dummy_scienceqa/liquid_clip_run] epoch=1 step=760 loss=0.9593 acc=0.3980
[2026-02-25 15:32:00] [dummy_scienceqa/liquid_clip_run] epoch=1 step=780 loss=0.9589 acc=0.3982
[2026-02-25 15:32:44] [dummy_scienceqa/liquid_clip_run] epoch=2 step=20 loss=0.9534 acc=0.4062
[2026-02-25 15:32:49] [dummy_scienceqa/liquid_clip_run] epoch=2 step=40 loss=0.9618 acc=0.4188
[2026-02-25 15:32:53] [dummy_scienceqa/liquid_clip_run] epoch=2 step=60 loss=0.9682 acc=0.4229
[2026-02-25 15:32:58] [dummy_scienceqa/liquid_clip_run] epoch=2 step=80 loss=0.9717 acc=0.4117
[2026-02-25 15:33:03] [dummy_scienceqa/liquid_clip_run] epoch=2 step=100 loss=0.9692 acc=0.4200
[2026-02-25 15:33:07] [dummy_scienceqa/liquid_clip_run] epoch=2 step=120 loss=0.9627 acc=0.4151
[2026-02-25 15:33:12] [dummy_scienceqa/liquid_clip_run] epoch=2 step=140 loss=0.9621 acc=0.4134
[2026-02-25 15:33:17] [dummy_scienceqa/liquid_clip_run] epoch=2 step=160 loss=0.9613 acc=0.4137
[2026-02-25 15:33:21] [dummy_scienceqa/liquid_clip_run] epoch=2 step=180 loss=0.9605 acc=0.4128
[2026-02-25 15:33:26] [dummy_scienceqa/liquid_clip_run] epoch=2 step=200 loss=0.9616 acc=0.4109
[2026-02-25 15:33:31] [dummy_scienceqa/liquid_clip_run] epoch=2 step=220 loss=0.9610 acc=0.4057
[2026-02-25 15:33:36] [dummy_scienceqa/liquid_clip_run] epoch=2 step=240 loss=0.9629 acc=0.4044
[2026-02-25 15:33:40] [dummy_scienceqa/liquid_clip_run] epoch=2 step=260 loss=0.9608 acc=0.4029
[2026-02-25 15:33:45] [dummy_scienceqa/liquid_clip_run] epoch=2 step=280 loss=0.9607 acc=0.4031
[2026-02-25 15:33:49] [dummy_scienceqa/liquid_clip_run] epoch=2 step=300 loss=0.9602 acc=0.4035
[2026-02-25 15:33:54] [dummy_scienceqa/liquid_clip_run] epoch=2 step=320 loss=0.9605 acc=0.4031
[2026-02-25 15:33:59] [dummy_scienceqa/liquid_clip_run] epoch=2 step=340 loss=0.9601 acc=0.4006
[2026-02-25 15:34:04] [dummy_scienceqa/liquid_clip_run] epoch=2 step=360 loss=0.9594 acc=0.4033
[2026-02-25 15:34:08] [dummy_scienceqa/liquid_clip_run] epoch=2 step=380 loss=0.9593 acc=0.4056
[2026-02-25 15:34:12] [dummy_scienceqa/liquid_clip_run] epoch=2 step=400 loss=0.9585 acc=0.4067
[2026-02-25 15:34:16] [dummy_scienceqa/liquid_clip_run] epoch=2 step=420 loss=0.9584 acc=0.4064
[2026-02-25 15:34:20] [dummy_scienceqa/liquid_clip_run] epoch=2 step=440 loss=0.9571 acc=0.4072
[2026-02-25 15:34:25] [dummy_scienceqa/liquid_clip_run] epoch=2 step=460 loss=0.9577 acc=0.4053
[2026-02-25 15:34:30] [dummy_scienceqa/liquid_clip_run] epoch=2 step=480 loss=0.9582 acc=0.4031
[2026-02-25 15:34:35] [dummy_scienceqa/liquid_clip_run] epoch=2 step=500 loss=0.9577 acc=0.4047
[2026-02-25 15:34:39] [dummy_scienceqa/liquid_clip_run] epoch=2 step=520 loss=0.9577 acc=0.4050
[2026-02-25 15:34:44] [dummy_scienceqa/liquid_clip_run] epoch=2 step=540 loss=0.9573 acc=0.4035
[2026-02-25 15:34:49] [dummy_scienceqa/liquid_clip_run] epoch=2 step=560 loss=0.9565 acc=0.4032
[2026-02-25 15:34:53] [dummy_scienceqa/liquid_clip_run] epoch=2 step=580 loss=0.9561 acc=0.4020
[2026-02-25 15:34:58] [dummy_scienceqa/liquid_clip_run] epoch=2 step=600 loss=0.9577 acc=0.3998
[2026-02-25 15:35:02] [dummy_scienceqa/liquid_clip_run] epoch=2 step=620 loss=0.9567 acc=0.3990
[2026-02-25 15:35:07] [dummy_scienceqa/liquid_clip_run] epoch=2 step=640 loss=0.9572 acc=0.3997
[2026-02-25 15:35:12] [dummy_scienceqa/liquid_clip_run] epoch=2 step=660 loss=0.9571 acc=0.3986
[2026-02-25 15:35:16] [dummy_scienceqa/liquid_clip_run] epoch=2 step=680 loss=0.9578 acc=0.3984
[2026-02-25 15:35:21] [dummy_scienceqa/liquid_clip_run] epoch=2 step=700 loss=0.9572 acc=0.3996
[2026-02-25 15:35:26] [dummy_scienceqa/liquid_clip_run] epoch=2 step=720 loss=0.9576 acc=0.3991
[2026-02-25 15:35:31] [dummy_scienceqa/liquid_clip_run] epoch=2 step=740 loss=0.9578 acc=0.3986
[2026-02-25 15:35:35] [dummy_scienceqa/liquid_clip_run] epoch=2 step=760 loss=0.9571 acc=0.4002
[2026-02-25 15:35:40] [dummy_scienceqa/liquid_clip_run] epoch=2 step=780 loss=0.9585 acc=0.3990
[2026-02-25 15:36:23] [dummy_scienceqa/liquid_clip_run] epoch=3 step=20 loss=0.9524 acc=0.3906
[2026-02-25 15:36:28] [dummy_scienceqa/liquid_clip_run] epoch=3 step=40 loss=0.9578 acc=0.4266
[2026-02-25 15:36:32] [dummy_scienceqa/liquid_clip_run] epoch=3 step=60 loss=0.9510 acc=0.4094
[2026-02-25 15:36:37] [dummy_scienceqa/liquid_clip_run] epoch=3 step=80 loss=0.9538 acc=0.4078
[2026-02-25 15:36:42] [dummy_scienceqa/liquid_clip_run] epoch=3 step=100 loss=0.9561 acc=0.3906
[2026-02-25 15:36:47] [dummy_scienceqa/liquid_clip_run] epoch=3 step=120 loss=0.9536 acc=0.3943
[2026-02-25 15:36:51] [dummy_scienceqa/liquid_clip_run] epoch=3 step=140 loss=0.9538 acc=0.3929
[2026-02-25 15:36:56] [dummy_scienceqa/liquid_clip_run] epoch=3 step=160 loss=0.9558 acc=0.3965
[2026-02-25 15:37:01] [dummy_scienceqa/liquid_clip_run] epoch=3 step=180 loss=0.9577 acc=0.3934
[2026-02-25 15:37:06] [dummy_scienceqa/liquid_clip_run] epoch=3 step=200 loss=0.9574 acc=0.3925
[2026-02-25 15:37:10] [dummy_scienceqa/liquid_clip_run] epoch=3 step=220 loss=0.9560 acc=0.3963
[2026-02-25 15:37:15] [dummy_scienceqa/liquid_clip_run] epoch=3 step=240 loss=0.9553 acc=0.3977
[2026-02-25 15:37:20] [dummy_scienceqa/liquid_clip_run] epoch=3 step=260 loss=0.9561 acc=0.3940
[2026-02-25 15:37:24] [dummy_scienceqa/liquid_clip_run] epoch=3 step=280 loss=0.9560 acc=0.3926
[2026-02-25 15:37:29] [dummy_scienceqa/liquid_clip_run] epoch=3 step=300 loss=0.9567 acc=0.3923
[2026-02-25 15:37:34] [dummy_scienceqa/liquid_clip_run] epoch=3 step=320 loss=0.9583 acc=0.3939
[2026-02-25 15:37:39] [dummy_scienceqa/liquid_clip_run] epoch=3 step=340 loss=0.9586 acc=0.3932
[2026-02-25 15:37:43] [dummy_scienceqa/liquid_clip_run] epoch=3 step=360 loss=0.9598 acc=0.3932
[2026-02-25 15:37:48] [dummy_scienceqa/liquid_clip_run] epoch=3 step=380 loss=0.9587 acc=0.3934
[2026-02-25 15:37:53] [dummy_scienceqa/liquid_clip_run] epoch=3 step=400 loss=0.9590 acc=0.3975
[2026-02-25 15:37:58] [dummy_scienceqa/liquid_clip_run] epoch=3 step=420 loss=0.9591 acc=0.3970
[2026-02-25 15:38:02] [dummy_scienceqa/liquid_clip_run] epoch=3 step=440 loss=0.9578 acc=0.3989
[2026-02-25 15:38:07] [dummy_scienceqa/liquid_clip_run] epoch=3 step=460 loss=0.9580 acc=0.4008
[2026-02-25 15:38:12] [dummy_scienceqa/liquid_clip_run] epoch=3 step=480 loss=0.9575 acc=0.4014
[2026-02-25 15:38:17] [dummy_scienceqa/liquid_clip_run] epoch=3 step=500 loss=0.9583 acc=0.4001
[2026-02-25 15:38:22] [dummy_scienceqa/liquid_clip_run] epoch=3 step=520 loss=0.9585 acc=0.3998
[2026-02-25 15:38:27] [dummy_scienceqa/liquid_clip_run] epoch=3 step=540 loss=0.9586 acc=0.3997
[2026-02-25 15:38:31] [dummy_scienceqa/liquid_clip_run] epoch=3 step=560 loss=0.9591 acc=0.3999
[2026-02-25 15:38:36] [dummy_scienceqa/liquid_clip_run] epoch=3 step=580 loss=0.9593 acc=0.3988
[2026-02-25 15:38:41] [dummy_scienceqa/liquid_clip_run] epoch=3 step=600 loss=0.9598 acc=0.3989
[2026-02-25 15:38:46] [dummy_scienceqa/liquid_clip_run] epoch=3 step=620 loss=0.9605 acc=0.3998
[2026-02-25 15:38:50] [dummy_scienceqa/liquid_clip_run] epoch=3 step=640 loss=0.9606 acc=0.3996
[2026-02-25 15:38:54] [dummy_scienceqa/liquid_clip_run] epoch=3 step=660 loss=0.9610 acc=0.3998
[2026-02-25 15:38:59] [dummy_scienceqa/liquid_clip_run] epoch=3 step=680 loss=0.9610 acc=0.3996
[2026-02-25 15:39:04] [dummy_scienceqa/liquid_clip_run] epoch=3 step=700 loss=0.9608 acc=0.4004
[2026-02-25 15:39:10] [dummy_scienceqa/liquid_clip_run] epoch=3 step=720 loss=0.9621 acc=0.4014
[2026-02-25 15:39:14] [dummy_scienceqa/liquid_clip_run] epoch=3 step=740 loss=0.9619 acc=0.4009
[2026-02-25 15:39:19] [dummy_scienceqa/liquid_clip_run] epoch=3 step=760 loss=0.9617 acc=0.4006
[2026-02-25 15:39:24] [dummy_scienceqa/liquid_clip_run] epoch=3 step=780 loss=0.9618 acc=0.4002
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
{'dataset': 'dummy_scienceqa', 'experiment': 'liquid_clip_run', 'seed': 3407, 'run_dir': 'outputs/runs/dummy_scienceqa/liquid_clip_run/seed_3407', 'best_val_accuracy': 0.4053289318556944, 'test_accuracy': 0.4053289318556944, 'avg_steps': 1.0}
